         ps   /test_ring_counter_6bit/button1  /test_ring_counter_6bit/led5           
                   /test_ring_counter_6bit/led1  /test_ring_counter_6bit/led6         
                     /test_ring_counter_6bit/led2                                     
                       /test_ring_counter_6bit/led3                                   
                         /test_ring_counter_6bit/led4                                 
       3260                                 1 0 1 0 0                     0 0 
       3270                                 0 0 1 0 0                     0 0 
       3280                                 1 0 0 1 0                     0 0 
       3290                                 0 0 0 1 0                     0 0 
       3300                                 1 0 0 0 1                     0 0 
       3310                                 0 0 0 0 1                     0 0 
       3320                                 1 0 0 0 0                     1 0 
       3330                                 0 0 0 0 0                     1 0 
       3340                                 1 0 0 0 0                     0 1 
       3350                                 0 0 0 0 0                     0 1 
       3360                                 1 1 0 0 0                     0 0 
       3370                                 0 1 0 0 0                     0 0 
       3380                                 1 0 1 0 0                     0 0 
       3390                                 0 0 1 0 0                     0 0 
       3400                                 1 0 0 1 0                     0 0 
       3410                                 0 0 0 1 0                     0 0 
       3420                                 1 0 0 0 1                     0 0 
       3430                                 0 0 0 0 1                     0 0 
       3440                                 1 0 0 0 0                     1 0 
       3450                                 0 0 0 0 0                     1 0 
       3460                                 1 0 0 0 0                     0 1 
       3470                                 0 0 0 0 0                     0 1 
       3480                                 1 1 0 0 0                     0 0 
       3490                                 0 1 0 0 0                     0 0 
       3500                                 1 0 1 0 0                     0 0 
       3510                                 0 0 1 0 0                     0 0 
       3520                                 1 0 0 1 0                     0 0 
       3530                                 0 0 0 1 0                     0 0 
       3540                                 1 0 0 0 1                     0 0 
       3550                                 0 0 0 0 1                     0 0 
       3560                                 1 0 0 0 0                     1 0 
       3570                                 0 0 0 0 0                     1 0 
       3580                                 1 0 0 0 0                     0 1 
       3590                                 0 0 0 0 0                     0 1 
       3600                                 1 1 0 0 0                     0 0 
       3610                                 0 1 0 0 0                     0 0 
       3620                                 1 0 1 0 0                     0 0 
       3630                                 0 0 1 0 0                     0 0 
       3640                                 1 0 0 1 0                     0 0 
       3650                                 0 0 0 1 0                     0 0 
       3660                                 1 0 0 0 1                     0 0 
       3670                                 0 0 0 0 1                     0 0 
       3680                                 1 0 0 0 0                     1 0 
       3690                                 0 0 0 0 0                     1 0 
       3700                                 1 0 0 0 0                     0 1 
       3710                                 0 0 0 0 0                     0 1 
       3720                                 1 1 0 0 0                     0 0 
       3730                                 0 1 0 0 0                     0 0 
       3740                                 1 0 1 0 0                     0 0 
       3750                                 0 0 1 0 0                     0 0 
       3760                                 1 0 0 1 0                     0 0 
       3770                                 0 0 0 1 0                     0 0 
       3780                                 1 0 0 0 1                     0 0 
       3790                                 0 0 0 0 1                     0 0 
       3800                                 1 0 0 0 0                     1 0 
       3810                                 0 0 0 0 0                     1 0 
       3820                                 1 0 0 0 0                     0 1 
       3830                                 0 0 0 0 0                     0 1 
       3840                                 1 1 0 0 0                     0 0 
       3850                                 0 1 0 0 0                     0 0 
       3860                                 1 0 1 0 0                     0 0 
       3870                                 0 0 1 0 0                     0 0 
       3880                                 1 0 0 1 0                     0 0 
       3890                                 0 0 0 1 0                     0 0 
       3900                                 1 0 0 0 1                     0 0 
       3910                                 0 0 0 0 1                     0 0 
       3920                                 1 0 0 0 0                     1 0 
       3930                                 0 0 0 0 0                     1 0 
       3940                                 1 0 0 0 0                     0 1 
       3950                                 0 0 0 0 0                     0 1 
       3960                                 1 1 0 0 0                     0 0 
       3970                                 0 1 0 0 0                     0 0 
       3980                                 1 0 1 0 0                     0 0 
       3990                                 0 0 1 0 0                     0 0 
       4000                                 1 0 0 1 0                     0 0 
       4010                                 0 0 0 1 0                     0 0 
       4020                                 1 0 0 0 1                     0 0 
       4030                                 0 0 0 0 1                     0 0 
       4040                                 1 0 0 0 0                     1 0 
       4050                                 0 0 0 0 0                     1 0 
       4060                                 1 0 0 0 0                     0 1 
       4070                                 0 0 0 0 0                     0 1 
       4080                                 1 1 0 0 0                     0 0 
       4090                                 0 1 0 0 0                     0 0 
       4100                                 1 0 1 0 0                     0 0 
       4110                                 0 0 1 0 0                     0 0 
       4120                                 1 0 0 1 0                     0 0 
       4130                                 0 0 0 1 0                     0 0 
       4140                                 1 0 0 0 1                     0 0 
       4150                                 0 0 0 0 1                     0 0 
       4160                                 1 0 0 0 0                     1 0 
       4170                                 0 0 0 0 0                     1 0 
       4180                                 1 0 0 0 0                     0 1 
       4190                                 0 0 0 0 0                     0 1 
       4200                                 1 1 0 0 0                     0 0 
       4210                                 0 1 0 0 0                     0 0 
       4220                                 1 0 1 0 0                     0 0 
       4230                                 0 0 1 0 0                     0 0 
       4240                                 1 0 0 1 0                     0 0 
       4250                                 0 0 0 1 0                     0 0 
       4260                                 1 0 0 0 1                     0 0 
       4270                                 0 0 0 0 1                     0 0 
       4280                                 1 0 0 0 0                     1 0 
       4290                                 0 0 0 0 0                     1 0 
       4300                                 1 0 0 0 0                     0 1 
       4310                                 0 0 0 0 0                     0 1 
       4320                                 1 1 0 0 0                     0 0 
       4330                                 0 1 0 0 0                     0 0 
       4340                                 1 0 1 0 0                     0 0 
       4350                                 0 0 1 0 0                     0 0 
       4360                                 1 0 0 1 0                     0 0 
       4370                                 0 0 0 1 0                     0 0 
       4380                                 1 0 0 0 1                     0 0 
       4390                                 0 0 0 0 1                     0 0 
       4400                                 1 0 0 0 0                     1 0 
       4410                                 0 0 0 0 0                     1 0 
       4420                                 1 0 0 0 0                     0 1 
       4430                                 0 0 0 0 0                     0 1 
       4440                                 1 1 0 0 0                     0 0 
       4450                                 0 1 0 0 0                     0 0 
       4460                                 1 0 1 0 0                     0 0 
       4470                                 0 0 1 0 0                     0 0 
       4480                                 1 0 0 1 0                     0 0 
       4490                                 0 0 0 1 0                     0 0 
       4500                                 1 0 0 0 1                     0 0 
       4510                                 0 0 0 0 1                     0 0 
       4520                                 1 0 0 0 0                     1 0 
       4530                                 0 0 0 0 0                     1 0 
       4540                                 1 0 0 0 0                     0 1 
       4550                                 0 0 0 0 0                     0 1 
       4560                                 1 1 0 0 0                     0 0 
       4570                                 0 1 0 0 0                     0 0 
       4580                                 1 0 1 0 0                     0 0 
       4590                                 0 0 1 0 0                     0 0 
       4600                                 1 0 0 1 0                     0 0 
       4610                                 0 0 0 1 0                     0 0 
       4620                                 1 0 0 0 1                     0 0 
       4630                                 0 0 0 0 1                     0 0 
       4640                                 1 0 0 0 0                     1 0 
       4650                                 0 0 0 0 0                     1 0 
       4660                                 1 0 0 0 0                     0 1 
       4670                                 0 0 0 0 0                     0 1 
       4680                                 1 1 0 0 0                     0 0 
       4690                                 0 1 0 0 0                     0 0 
       4700                                 1 0 1 0 0                     0 0 
       4710                                 0 0 1 0 0                     0 0 
       4720                                 1 0 0 1 0                     0 0 
       4730                                 0 0 0 1 0                     0 0 
       4740                                 1 0 0 0 1                     0 0 
       4750                                 0 0 0 0 1                     0 0 
       4760                                 1 0 0 0 0                     1 0 
       4770                                 0 0 0 0 0                     1 0 
       4780                                 1 0 0 0 0                     0 1 
       4790                                 0 0 0 0 0                     0 1 
       4800                                 1 1 0 0 0                     0 0 
       4810                                 0 1 0 0 0                     0 0 
       4820                                 1 0 1 0 0                     0 0 
       4830                                 0 0 1 0 0                     0 0 
       4840                                 1 0 0 1 0                     0 0 
       4850                                 0 0 0 1 0                     0 0 
       4860                                 1 0 0 0 1                     0 0 
       4870                                 0 0 0 0 1                     0 0 
       4880                                 1 0 0 0 0                     1 0 
       4890                                 0 0 0 0 0                     1 0 
       4900                                 1 0 0 0 0                     0 1 
       4910                                 0 0 0 0 0                     0 1 
       4920                                 1 1 0 0 0                     0 0 
       4930                                 0 1 0 0 0                     0 0 
       4940                                 1 0 1 0 0                     0 0 
       4950                                 0 0 1 0 0                     0 0 
       4960                                 1 0 0 1 0                     0 0 
       4970                                 0 0 0 1 0                     0 0 
       4980                                 1 0 0 0 1                     0 0 
       4990                                 0 0 0 0 1                     0 0 
       5000                                 1 0 0 0 0                     1 0 
       5010                                 0 0 0 0 0                     1 0 
       5020                                 1 0 0 0 0                     0 1 
       5030                                 0 0 0 0 0                     0 1 
       5040                                 1 1 0 0 0                     0 0 
       5050                                 0 1 0 0 0                     0 0 
       5060                                 1 0 1 0 0                     0 0 
       5070                                 0 0 1 0 0                     0 0 
       5080                                 1 0 0 1 0                     0 0 
       5090                                 0 0 0 1 0                     0 0 
       5100                                 1 0 0 0 1                     0 0 
       5110                                 0 0 0 0 1                     0 0 
       5120                                 1 0 0 0 0                     1 0 
       5130                                 0 0 0 0 0                     1 0 
       5140                                 1 0 0 0 0                     0 1 
       5150                                 0 0 0 0 0                     0 1 
       5160                                 1 1 0 0 0                     0 0 
       5170                                 0 1 0 0 0                     0 0 
       5180                                 1 0 1 0 0                     0 0 
       5190                                 0 0 1 0 0                     0 0 
       5200                                 1 0 0 1 0                     0 0 
       5210                                 0 0 0 1 0                     0 0 
       5220                                 1 0 0 0 1                     0 0 
       5230                                 0 0 0 0 1                     0 0 
       5240                                 1 0 0 0 0                     1 0 
       5250                                 0 0 0 0 0                     1 0 
       5260                                 1 0 0 0 0                     0 1 
       5270                                 0 0 0 0 0                     0 1 
       5280                                 1 1 0 0 0                     0 0 
       5290                                 0 1 0 0 0                     0 0 
       5300                                 1 0 1 0 0                     0 0 
       5310                                 0 0 1 0 0                     0 0 
       5320                                 1 0 0 1 0                     0 0 
       5330                                 0 0 0 1 0                     0 0 
       5340                                 1 0 0 0 1                     0 0 
       5350                                 0 0 0 0 1                     0 0 
       5360                                 1 0 0 0 0                     1 0 
       5370                                 0 0 0 0 0                     1 0 
       5380                                 1 0 0 0 0                     0 1 
       5390                                 0 0 0 0 0                     0 1 
       5400                                 1 1 0 0 0                     0 0 
       5410                                 0 1 0 0 0                     0 0 
       5420                                 1 0 1 0 0                     0 0 
       5430                                 0 0 1 0 0                     0 0 
       5440                                 1 0 0 1 0                     0 0 
       5450                                 0 0 0 1 0                     0 0 
       5460                                 1 0 0 0 1                     0 0 
       5470                                 0 0 0 0 1                     0 0 
       5480                                 1 0 0 0 0                     1 0 
       5490                                 0 0 0 0 0                     1 0 
       5500                                 1 0 0 0 0                     0 1 
       5510                                 0 0 0 0 0                     0 1 
       5520                                 1 1 0 0 0                     0 0 
       5530                                 0 1 0 0 0                     0 0 
       5540                                 1 0 1 0 0                     0 0 
       5550                                 0 0 1 0 0                     0 0 
       5560                                 1 0 0 1 0                     0 0 
       5570                                 0 0 0 1 0                     0 0 
       5580                                 1 0 0 0 1                     0 0 
       5590                                 0 0 0 0 1                     0 0 
       5600                                 1 0 0 0 0                     1 0 
       5610                                 0 0 0 0 0                     1 0 
       5620                                 1 0 0 0 0                     0 1 
       5630                                 0 0 0 0 0                     0 1 
