         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
     745000                                      1 1 1 1 0                          1 
     745196                                      1 0 1 1 0                          1 
     749806                                      1 1 1 1 0                          1 
     750000                                      0 1 1 1 0                          1 
     754416                                      0 0 1 1 0                          1 
     755000                                      1 0 0 1 1                          0 
     759615                                      1 1 0 1 1                          0 
     760000                                      0 1 0 1 1                          0 
     764814                                      0 0 0 1 1                          0 
     765000                                      1 0 0 0 1                          1 
     770000                                      0 0 0 0 1                          1 
     770013                                      0 1 0 0 1                          1 
     775000                                      1 1 1 0 0                          1 
     775212                                      1 0 1 0 0                          1 
     776820                                      1 1 1 0 0                          1 
     778428                                      1 0 1 0 0                          1 
     780000                                      0 0 1 0 0                          1 
     780036                                      0 1 1 0 0                          1 
     781644                                      0 0 1 0 0                          1 
     785000                                      1 0 0 1 0                          0 
     790000                                      0 0 0 1 0                          0 
     791390                                      0 1 0 1 0                          0 
     795000                                      1 1 1 0 1                          0 
     800000                                      0 1 1 0 1                          0 
     801136                                      0 0 1 0 1                          0 
     805000                                      1 0 0 1 0                          1 
     810000                                      0 0 0 1 0                          1 
     810882                                      0 1 0 1 0                          1 
     815000                                      1 1 1 0 1                          0 
     820000                                      0 1 1 0 1                          0 
     820628                                      0 0 1 0 1                          0 
     820734                                      0 1 1 0 1                          0 
     820840                                      0 0 1 0 1                          0 
     820946                                      0 1 1 0 1                          0 
     821052                                      0 0 1 0 1                          0 
     825000                                      1 0 0 1 0                          1 
     825194                                      1 1 0 1 0                          1 
     829336                                      1 0 0 1 0                          1 
     830000                                      0 0 0 1 0                          1 
     833478                                      0 1 0 1 0                          1 
     835000                                      1 1 1 0 1                          0 
     837620                                      1 0 1 0 1                          0 
     839949                                      1 1 1 0 1                          0 
     840000                                      0 1 1 0 1                          0 
     842278                                      0 0 1 0 1                          0 
     844607                                      0 1 1 0 1                          0 
     845000                                      1 1 1 1 0                          1 
     846936                                      1 0 1 1 0                          1 
     850000                                      0 0 1 1 0                          1 
     852488                                      0 1 1 1 0                          1 
     855000                                      1 1 1 1 1                          0 
     858040                                      1 0 1 1 1                          0 
     860000                                      0 0 1 1 1                          0 
     863592                                      0 1 1 1 1                          0 
     865000                                      1 1 1 1 1                          1 
     869144                                      1 0 1 1 1                          1 
     870000                                      0 0 1 1 1                          1 
     872049                                      0 1 1 1 1                          1 
     874954                                      0 0 1 1 1                          1 
     875000                                      1 0 0 1 1                          1 
     877859                                      1 1 0 1 1                          1 
     880000                                      0 1 0 1 1                          1 
     880764                                      0 0 0 1 1                          1 
     882819                                      0 1 0 1 1                          1 
     884874                                      0 0 0 1 1                          1 
     885000                                      1 0 0 0 1                          1 
     886929                                      1 1 0 0 1                          1 
     888984                                      1 0 0 0 1                          1 
     890000                                      0 0 0 0 1                          1 
     894597                                      0 1 0 0 1                          1 
     895000                                      1 1 1 0 0                          1 
