         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
       1015                                    1 0 0 0 
       1016                                    0 0 0 0 
       1020                                    1 1 1 1 
       1022                                    0 1 1 1 
       1024                                    1 0 1 1 
       1025                                    0 0 1 1 
       1026                                    1 1 0 1 
       1028                                    0 1 0 1 
       1029                                    1 0 0 1 
       1031                                    0 0 0 1 
       1033                                    1 1 1 0 
       1034                                    0 1 1 0 
       1040                                    1 0 1 0 
       1042                                    0 0 1 0 
       1045                                    1 1 0 0 
       1046                                    0 1 0 0 
       1048                                    1 0 0 0 
       1049                                    0 0 0 0 
       1050                                    1 1 1 1 
       1052                                    0 1 1 1 
       1057                                    1 0 1 1 
       1058                                    0 0 1 1 
       1060                                    1 1 0 1 
       1061                                    0 1 0 1 
       1062                                    1 0 0 1 
       1064                                    0 0 0 1 
       1065                                    1 1 1 0 
       1066                                    0 1 1 0 
       1069                                    1 0 1 0 
       1070                                    0 0 1 0 
       1071                                    1 1 0 0 
       1074                                    0 1 0 0 
       1079                                    1 0 0 0 
       1080                                    0 0 0 0 
       1081                                    1 1 1 1 
       1083                                    0 1 1 1 
       1084                                    1 0 1 1 
       1085                                    0 0 1 1 
       1086                                    1 1 0 1 
       1088                                    0 1 0 1 
       1089                                    1 0 0 1 
       1090                                    0 0 0 1 
       1093                                    1 1 1 0 
       1094                                    0 1 1 0 
       1095                                    1 0 1 0 
       1096                                    0 0 1 0 
       1099                                    1 1 0 0 
       1100                                    0 1 0 0 
       1101                                    1 0 0 0 
       1103                                    0 0 0 0 
       1104                                    1 1 1 1 
       1106                                    0 1 1 1 
       1109                                    1 0 1 1 
       1112                                    0 0 1 1 
       1114                                    1 1 0 1 
       1115                                    0 1 0 1 
       1116                                    1 0 0 1 
       1119                                    0 0 0 1 
       1121                                    1 1 1 0 
       1122                                    0 1 1 0 
       1123                                    1 0 1 0 
       1125                                    0 0 1 0 
       1127                                    1 1 0 0 
       1128                                    0 1 0 0 
       1129                                    1 0 0 0 
       1131                                    0 0 0 0 
       1134                                    1 1 1 1 
       1137                                    0 1 1 1 
       1140                                    1 0 1 1 
       1141                                    0 0 1 1 
       1142                                    1 1 0 1 
       1144                                    0 1 0 1 
       1148                                    1 0 0 1 
       1151                                    0 0 0 1 
       1153                                    1 1 1 0 
       1157                                    0 1 1 0 
       1162                                    1 0 1 0 
       1164                                    0 0 1 0 
       1165                                    1 1 0 0 
       1167                                    0 1 0 0 
       1169                                    1 0 0 0 
       1170                                    0 0 0 0 
       1171                                    1 1 1 1 
       1173                                    0 1 1 1 
       1174                                    1 0 1 1 
       1175                                    0 0 1 1 
       1179                                    1 1 0 1 
       1180                                    0 1 0 1 
       1181                                    1 0 0 1 
       1184                                    0 0 0 1 
       1186                                    1 1 1 0 
       1190                                    0 1 1 0 
       1192                                    1 0 1 0 
       1196                                    0 0 1 0 
       1198                                    1 1 0 0 
       1200                                    0 1 0 0 
       1202                                    1 0 0 0 
       1203                                    0 0 0 0 
       1207                                    1 1 1 1 
       1209                                    0 1 1 1 
       1210                                    1 0 1 1 
       1214                                    0 0 1 1 
       1215                                    1 1 0 1 
       1216                                    0 1 0 1 
       1217                                    1 0 0 1 
       1218                                    0 0 0 1 
       1219                                    1 1 1 0 
       1223                                    0 1 1 0 
       1224                                    1 0 1 0 
       1226                                    0 0 1 0 
       1227                                    1 1 0 0 
       1239                                    0 1 0 0 
       1240                                    1 0 0 0 
       1241                                    0 0 0 0 
       1242                                    1 1 1 1 
       1243                                    0 1 1 1 
       1244                                    1 0 1 1 
       1245                                    0 0 1 1 
       1246                                    1 1 0 1 
       1247                                    0 1 0 1 
       1248                                    1 0 0 1 
       1251                                    0 0 0 1 
       1253                                    1 1 1 0 
       1254                                    0 1 1 0 
       1255                                    1 0 1 0 
       1257                                    0 0 1 0 
       1258                                    1 1 0 0 
       1259                                    0 1 0 0 
       1260                                    1 0 0 0 
       1261                                    0 0 0 0 
       1262                                    1 1 1 1 
       1264                                    0 1 1 1 
       1267                                    1 0 1 1 
       1268                                    0 0 1 1 
       1269                                    1 1 0 1 
       1271                                    0 1 0 1 
       1273                                    1 0 0 1 
       1274                                    0 0 0 1 
       1276                                    1 1 1 0 
       1279                                    0 1 1 0 
       1285                                    1 0 1 0 
       1287                                    0 0 1 0 
       1289                                    1 1 0 0 
       1290                                    0 1 0 0 
       1291                                    1 0 0 0 
       1292                                    0 0 0 0 
       1295                                    1 1 1 1 
       1297                                    0 1 1 1 
       1300                                    1 0 1 1 
       1302                                    0 0 1 1 
       1303                                    1 1 0 1 
       1304                                    0 1 0 1 
       1305                                    1 0 0 1 
       1307                                    0 0 0 1 
       1308                                    1 1 1 0 
       1309                                    0 1 1 0 
       1310                                    1 0 1 0 
       1314                                    0 0 1 0 
       1316                                    1 1 0 0 
       1317                                    0 1 0 0 
       1318                                    1 0 0 0 
       1319                                    0 0 0 0 
       1325                                    1 1 1 1 
       1328                                    0 1 1 1 
       1330                                    1 0 1 1 
       1331                                    0 0 1 1 
       1332                                    1 1 0 1 
       1333                                    0 1 0 1 
       1334                                    1 0 0 1 
       1338                                    0 0 0 1 
       1339                                    1 1 1 0 
       1341                                    0 1 1 0 
       1345                                    1 0 1 0 
       1348                                    0 0 1 0 
       1352                                    1 1 0 0 
       1355                                    0 1 0 0 
       1359                                    1 0 0 0 
       1362                                    0 0 0 0 
       1364                                    1 1 1 1 
       1365                                    0 1 1 1 
       1370                                    1 0 1 1 
       1373                                    0 0 1 1 
       1379                                    1 1 0 1 
       1382                                    0 1 0 1 
       1387                                    1 0 0 1 
       1390                                    0 0 0 1 
       1391                                    1 1 1 0 
       1393                                    0 1 1 0 
       1394                                    1 0 1 0 
       1395                                    0 0 1 0 
       1397                                    1 1 0 0 
       1401                                    0 1 0 0 
       1403                                    1 0 0 0 
       1407                                    0 0 0 0 
       1408                                    1 1 1 1 
       1412                                    0 1 1 1 
       1413                                    1 0 1 1 
       1414                                    0 0 1 1 
       1415                                    1 1 0 1 
       1416                                    0 1 0 1 
       1417                                    1 0 0 1 
       1418                                    0 0 0 1 
       1420                                    1 1 1 0 
       1421                                    0 1 1 0 
       1424                                    1 0 1 0 
       1425                                    0 0 1 0 
       1429                                    1 1 0 0 
       1432                                    0 1 0 0 
       1433                                    1 0 0 0 
       1434                                    0 0 0 0 
       1435                                    1 1 1 1 
       1437                                    0 1 1 1 
       1440                                    1 0 1 1 
       1441                                    0 0 1 1 
       1446                                    1 1 0 1 
       1447                                    0 1 0 1 
       1449                                    1 0 0 1 
       1451                                    0 0 0 1 
       1455                                    1 1 1 0 
       1457                                    0 1 1 0 
       1460                                    1 0 1 0 
       1464                                    0 0 1 0 
       1465                                    1 1 0 0 
       1466                                    0 1 0 0 
       1469                                    1 0 0 0 
       1470                                    0 0 0 0 
       1471                                    1 1 1 1 
       1472                                    0 1 1 1 
       1473                                    1 0 1 1 
       1474                                    0 0 1 1 
