         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
      75327                                    1 0 0 1 
      75328                                    0 0 0 1 
      75330                                    1 1 1 0 
      75332                                    0 1 1 0 
      75335                                    1 0 1 0 
      75336                                    0 0 1 0 
      75342                                    1 1 0 0 
      75344                                    0 1 0 0 
      75345                                    1 0 0 0 
      75349                                    0 0 0 0 
      75350                                    1 1 1 1 
      75351                                    0 1 1 1 
      75352                                    1 0 1 1 
      75355                                    0 0 1 1 
      75356                                    1 1 0 1 
      75357                                    0 1 0 1 
      75358                                    1 0 0 1 
      75360                                    0 0 0 1 
      75361                                    1 1 1 0 
      75363                                    0 1 1 0 
      75364                                    1 0 1 0 
      75365                                    0 0 1 0 
      75367                                    1 1 0 0 
      75368                                    0 1 0 0 
      75370                                    1 0 0 0 
      75371                                    0 0 0 0 
      75375                                    1 1 1 1 
      75376                                    0 1 1 1 
      75377                                    1 0 1 1 
      75379                                    0 0 1 1 
      75384                                    1 1 0 1 
      75387                                    0 1 0 1 
      75388                                    1 0 0 1 
      75389                                    0 0 0 1 
      75390                                    1 1 1 0 
      75391                                    0 1 1 0 
      75392                                    1 0 1 0 
      75397                                    0 0 1 0 
      75399                                    1 1 0 0 
      75402                                    0 1 0 0 
      75403                                    1 0 0 0 
      75408                                    0 0 0 0 
      75409                                    1 1 1 1 
      75410                                    0 1 1 1 
      75411                                    1 0 1 1 
      75412                                    0 0 1 1 
      75415                                    1 1 0 1 
      75419                                    0 1 0 1 
      75426                                    1 0 0 1 
      75427                                    0 0 0 1 
      75429                                    1 1 1 0 
      75431                                    0 1 1 0 
      75432                                    1 0 1 0 
      75433                                    0 0 1 0 
      75436                                    1 1 0 0 
      75439                                    0 1 0 0 
      75440                                    1 0 0 0 
      75442                                    0 0 0 0 
      75443                                    1 1 1 1 
      75444                                    0 1 1 1 
      75447                                    1 0 1 1 
      75449                                    0 0 1 1 
      75450                                    1 1 0 1 
      75452                                    0 1 0 1 
      75455                                    1 0 0 1 
      75457                                    0 0 0 1 
      75458                                    1 1 1 0 
      75463                                    0 1 1 0 
      75464                                    1 0 1 0 
      75465                                    0 0 1 0 
      75468                                    1 1 0 0 
      75476                                    0 1 0 0 
      75478                                    1 0 0 0 
      75479                                    0 0 0 0 
      75481                                    1 1 1 1 
      75482                                    0 1 1 1 
      75483                                    1 0 1 1 
      75484                                    0 0 1 1 
      75486                                    1 1 0 1 
      75487                                    0 1 0 1 
      75489                                    1 0 0 1 
      75491                                    0 0 0 1 
      75492                                    1 1 1 0 
      75496                                    0 1 1 0 
      75498                                    1 0 1 0 
      75500                                    0 0 1 0 
      75501                                    1 1 0 0 
      75502                                    0 1 0 0 
      75504                                    1 0 0 0 
      75506                                    0 0 0 0 
      75507                                    1 1 1 1 
      75508                                    0 1 1 1 
      75510                                    1 0 1 1 
      75514                                    0 0 1 1 
      75520                                    1 1 0 1 
      75521                                    0 1 0 1 
      75524                                    1 0 0 1 
      75525                                    0 0 0 1 
      75527                                    1 1 1 0 
      75529                                    0 1 1 0 
      75530                                    1 0 1 0 
      75532                                    0 0 1 0 
      75533                                    1 1 0 0 
      75534                                    0 1 0 0 
      75536                                    1 0 0 0 
      75537                                    0 0 0 0 
      75539                                    1 1 1 1 
      75540                                    0 1 1 1 
      75543                                    1 0 1 1 
      75550                                    0 0 1 1 
      75551                                    1 1 0 1 
      75556                                    0 1 0 1 
      75559                                    1 0 0 1 
      75560                                    0 0 0 1 
      75561                                    1 1 1 0 
      75562                                    0 1 1 0 
      75566                                    1 0 1 0 
      75568                                    0 0 1 0 
      75574                                    1 1 0 0 
      75575                                    0 1 0 0 
      75576                                    1 0 0 0 
      75579                                    0 0 0 0 
      75580                                    1 1 1 1 
      75583                                    0 1 1 1 
      75586                                    1 0 1 1 
      75588                                    0 0 1 1 
      75590                                    1 1 0 1 
      75592                                    0 1 0 1 
      75594                                    1 0 0 1 
      75604                                    0 0 0 1 
      75605                                    1 1 1 0 
      75608                                    0 1 1 0 
      75611                                    1 0 1 0 
      75613                                    0 0 1 0 
      75614                                    1 1 0 0 
      75616                                    0 1 0 0 
      75617                                    1 0 0 0 
      75618                                    0 0 0 0 
      75621                                    1 1 1 1 
      75622                                    0 1 1 1 
      75623                                    1 0 1 1 
      75624                                    0 0 1 1 
      75626                                    1 1 0 1 
      75627                                    0 1 0 1 
      75629                                    1 0 0 1 
      75630                                    0 0 0 1 
      75631                                    1 1 1 0 
      75634                                    0 1 1 0 
      75635                                    1 0 1 0 
      75636                                    0 0 1 0 
      75638                                    1 1 0 0 
      75640                                    0 1 0 0 
      75642                                    1 0 0 0 
      75644                                    0 0 0 0 
      75648                                    1 1 1 1 
      75651                                    0 1 1 1 
      75655                                    1 0 1 1 
      75657                                    0 0 1 1 
      75658                                    1 1 0 1 
      75661                                    0 1 0 1 
      75663                                    1 0 0 1 
      75665                                    0 0 0 1 
      75667                                    1 1 1 0 
      75670                                    0 1 1 0 
      75672                                    1 0 1 0 
      75673                                    0 0 1 0 
      75674                                    1 1 0 0 
      75678                                    0 1 0 0 
      75679                                    1 0 0 0 
      75683                                    0 0 0 0 
      75685                                    1 1 1 1 
      75686                                    0 1 1 1 
      75688                                    1 0 1 1 
      75689                                    0 0 1 1 
      75690                                    1 1 0 1 
      75691                                    0 1 0 1 
      75692                                    1 0 0 1 
      75693                                    0 0 0 1 
      75694                                    1 1 1 0 
      75695                                    0 1 1 0 
      75696                                    1 0 1 0 
      75698                                    0 0 1 0 
      75700                                    1 1 0 0 
      75701                                    0 1 0 0 
      75703                                    1 0 0 0 
      75705                                    0 0 0 0 
      75706                                    1 1 1 1 
      75707                                    0 1 1 1 
      75709                                    1 0 1 1 
      75710                                    0 0 1 1 
      75711                                    1 1 0 1 
      75715                                    0 1 0 1 
      75717                                    1 0 0 1 
      75718                                    0 0 0 1 
      75722                                    1 1 1 0 
      75725                                    0 1 1 0 
      75728                                    1 0 1 0 
      75729                                    0 0 1 0 
      75732                                    1 1 0 0 
      75733                                    0 1 0 0 
      75736                                    1 0 0 0 
      75737                                    0 0 0 0 
      75738                                    1 1 1 1 
      75739                                    0 1 1 1 
      75744                                    1 0 1 1 
      75746                                    0 0 1 1 
      75747                                    1 1 0 1 
      75748                                    0 1 0 1 
      75749                                    1 0 0 1 
      75752                                    0 0 0 1 
      75753                                    1 1 1 0 
      75758                                    0 1 1 0 
      75759                                    1 0 1 0 
      75760                                    0 0 1 0 
      75763                                    1 1 0 0 
      75766                                    0 1 0 0 
      75768                                    1 0 0 0 
      75769                                    0 0 0 0 
      75770                                    1 1 1 1 
      75771                                    0 1 1 1 
      75774                                    1 0 1 1 
      75775                                    0 0 1 1 
      75778                                    1 1 0 1 
      75781                                    0 1 0 1 
      75782                                    1 0 0 1 
      75783                                    0 0 0 1 
      75784                                    1 1 1 0 
      75785                                    0 1 1 0 
      75786                                    1 0 1 0 
      75787                                    0 0 1 0 
      75788                                    1 1 0 0 
      75791                                    0 1 0 0 
      75795                                    1 0 0 0 
      75796                                    0 0 0 0 
      75797                                    1 1 1 1 
      75798                                    0 1 1 1 
      75799                                    1 0 1 1 
      75802                                    0 0 1 1 
      75804                                    1 1 0 1 
      75805                                    0 1 0 1 
      75806                                    1 0 0 1 
      75808                                    0 0 0 1 
      75809                                    1 1 1 0 
      75811                                    0 1 1 0 
      75813                                    1 0 1 0 
      75815                                    0 0 1 0 
      75817                                    1 1 0 0 
      75818                                    0 1 0 0 
      75823                                    1 0 0 0 
      75824                                    0 0 0 0 
      75825                                    1 1 1 1 
      75826                                    0 1 1 1 
      75833                                    1 0 1 1 
      75834                                    0 0 1 1 
      75835                                    1 1 0 1 
      75836                                    0 1 0 1 
      75847                                    1 0 0 1 
      75848                                    0 0 0 1 
      75850                                    1 1 1 0 
      75851                                    0 1 1 0 
      75857                                    1 0 1 0 
      75858                                    0 0 1 0 
      75868                                    1 1 0 0 
      75874                                    0 1 0 0 
      75876                                    1 0 0 0 
      75878                                    0 0 0 0 
      75880                                    1 1 1 1 
      75881                                    0 1 1 1 
      75882                                    1 0 1 1 
      75884                                    0 0 1 1 
      75885                                    1 1 0 1 
      75887                                    0 1 0 1 
      75888                                    1 0 0 1 
      75890                                    0 0 0 1 
      75893                                    1 1 1 0 
      75895                                    0 1 1 0 
      75898                                    1 0 1 0 
      75900                                    0 0 1 0 
      75901                                    1 1 0 0 
      75902                                    0 1 0 0 
      75904                                    1 0 0 0 
      75910                                    0 0 0 0 
      75911                                    1 1 1 1 
      75912                                    0 1 1 1 
      75913                                    1 0 1 1 
      75914                                    0 0 1 1 
      75916                                    1 1 0 1 
      75918                                    0 1 0 1 
      75922                                    1 0 0 1 
      75924                                    0 0 0 1 
      75925                                    1 1 1 0 
      75927                                    0 1 1 0 
      75930                                    1 0 1 0 
      75931                                    0 0 1 0 
      75934                                    1 1 0 0 
      75937                                    0 1 0 0 
      75940                                    1 0 0 0 
      75943                                    0 0 0 0 
      75946                                    1 1 1 1 
      75948                                    0 1 1 1 
      75952                                    1 0 1 1 
      75954                                    0 0 1 1 
      75955                                    1 1 0 1 
      75958                                    0 1 0 1 
      75961                                    1 0 0 1 
      75962                                    0 0 0 1 
      75963                                    1 1 1 0 
      75964                                    0 1 1 0 
      75965                                    1 0 1 0 
      75966                                    0 0 1 0 
      75969                                    1 1 0 0 
      75971                                    0 1 0 0 
      75975                                    1 0 0 0 
      75976                                    0 0 0 0 
      75977                                    1 1 1 1 
      75978                                    0 1 1 1 
      75980                                    1 0 1 1 
      75981                                    0 0 1 1 
      75982                                    1 1 0 1 
      75983                                    0 1 0 1 
      75986                                    1 0 0 1 
      75987                                    0 0 0 1 
      75988                                    1 1 1 0 
      75989                                    0 1 1 0 
      75995                                    1 0 1 0 
      75996                                    0 0 1 0 
      75998                                    1 1 0 0 
      75999                                    0 1 0 0 
      76001                                    1 0 0 0 
      76004                                    0 0 0 0 
      76010                                    1 1 1 1 
      76011                                    0 1 1 1 
      76012                                    1 0 1 1 
      76014                                    0 0 1 1 
      76015                                    1 1 0 1 
      76016                                    0 1 0 1 
      76017                                    1 0 0 1 
      76018                                    0 0 0 1 
      76020                                    1 1 1 0 
      76021                                    0 1 1 0 
      76022                                    1 0 1 0 
      76023                                    0 0 1 0 
      76024                                    1 1 0 0 
      76025                                    0 1 0 0 
      76028                                    1 0 0 0 
      76030                                    0 0 0 0 
      76031                                    1 1 1 1 
      76033                                    0 1 1 1 
      76035                                    1 0 1 1 
      76036                                    0 0 1 1 
      76037                                    1 1 0 1 
      76038                                    0 1 0 1 
      76039                                    1 0 0 1 
      76040                                    0 0 0 1 
      76041                                    1 1 1 0 
      76046                                    0 1 1 0 
      76048                                    1 0 1 0 
      76049                                    0 0 1 0 
      76050                                    1 1 0 0 
      76051                                    0 1 0 0 
      76052                                    1 0 0 0 
      76056                                    0 0 0 0 
      76057                                    1 1 1 1 
      76058                                    0 1 1 1 
      76059                                    1 0 1 1 
      76062                                    0 0 1 1 
      76063                                    1 1 0 1 
      76064                                    0 1 0 1 
      76066                                    1 0 0 1 
      76067                                    0 0 0 1 
      76073                                    1 1 1 0 
      76074                                    0 1 1 0 
      76078                                    1 0 1 0 
      76079                                    0 0 1 0 
      76080                                    1 1 0 0 
      76081                                    0 1 0 0 
      76082                                    1 0 0 0 
      76085                                    0 0 0 0 
      76087                                    1 1 1 1 
      76089                                    0 1 1 1 
      76092                                    1 0 1 1 
      76093                                    0 0 1 1 
      76097                                    1 1 0 1 
      76098                                    0 1 0 1 
      76100                                    1 0 0 1 
      76101                                    0 0 0 1 
      76102                                    1 1 1 0 
      76103                                    0 1 1 0 
      76104                                    1 0 1 0 
      76106                                    0 0 1 0 
      76107                                    1 1 0 0 
      76108                                    0 1 0 0 
      76109                                    1 0 0 0 
      76110                                    0 0 0 0 
      76112                                    1 1 1 1 
      76113                                    0 1 1 1 
      76116                                    1 0 1 1 
      76120                                    0 0 1 1 
      76122                                    1 1 0 1 
      76126                                    0 1 0 1 
      76127                                    1 0 0 1 
      76130                                    0 0 0 1 
      76131                                    1 1 1 0 
      76132                                    0 1 1 0 
      76134                                    1 0 1 0 
      76135                                    0 0 1 0 
      76136                                    1 1 0 0 
      76137                                    0 1 0 0 
      76139                                    1 0 0 0 
      76141                                    0 0 0 0 
      76142                                    1 1 1 1 
      76149                                    0 1 1 1 
      76151                                    1 0 1 1 
      76152                                    0 0 1 1 
      76153                                    1 1 0 1 
      76155                                    0 1 0 1 
      76156                                    1 0 0 1 
      76158                                    0 0 0 1 
      76160                                    1 1 1 0 
      76161                                    0 1 1 0 
      76162                                    1 0 1 0 
      76163                                    0 0 1 0 
      76164                                    1 1 0 0 
      76167                                    0 1 0 0 
      76169                                    1 0 0 0 
      76170                                    0 0 0 0 
      76174                                    1 1 1 1 
      76175                                    0 1 1 1 
      76179                                    1 0 1 1 
      76182                                    0 0 1 1 
      76184                                    1 1 0 1 
      76185                                    0 1 0 1 
      76188                                    1 0 0 1 
      76190                                    0 0 0 1 
      76193                                    1 1 1 0 
      76195                                    0 1 1 0 
      76196                                    1 0 1 0 
      76198                                    0 0 1 0 
      76200                                    1 1 0 0 
      76201                                    0 1 0 0 
      76202                                    1 0 0 0 
      76203                                    0 0 0 0 
      76204                                    1 1 1 1 
      76206                                    0 1 1 1 
      76208                                    1 0 1 1 
      76209                                    0 0 1 1 
      76217                                    1 1 0 1 
      76220                                    0 1 0 1 
      76223                                    1 0 0 1 
      76228                                    0 0 0 1 
      76231                                    1 1 1 0 
      76232                                    0 1 1 0 
      76233                                    1 0 1 0 
      76237                                    0 0 1 0 
      76238                                    1 1 0 0 
      76240                                    0 1 0 0 
      76242                                    1 0 0 0 
      76243                                    0 0 0 0 
      76244                                    1 1 1 1 
      76245                                    0 1 1 1 
      76246                                    1 0 1 1 
      76247                                    0 0 1 1 
      76248                                    1 1 0 1 
      76249                                    0 1 0 1 
      76250                                    1 0 0 1 
      76252                                    0 0 0 1 
      76253                                    1 1 1 0 
      76254                                    0 1 1 0 
      76256                                    1 0 1 0 
      76260                                    0 0 1 0 
      76261                                    1 1 0 0 
      76265                                    0 1 0 0 
      76267                                    1 0 0 0 
      76271                                    0 0 0 0 
      76272                                    1 1 1 1 
      76274                                    0 1 1 1 
      76280                                    1 0 1 1 
      76282                                    0 0 1 1 
      76283                                    1 1 0 1 
      76285                                    0 1 0 1 
      76287                                    1 0 0 1 
      76289                                    0 0 0 1 
      76290                                    1 1 1 0 
      76292                                    0 1 1 0 
      76295                                    1 0 1 0 
      76298                                    0 0 1 0 
      76299                                    1 1 0 0 
      76303                                    0 1 0 0 
      76304                                    1 0 0 0 
      76306                                    0 0 0 0 
      76307                                    1 1 1 1 
      76309                                    0 1 1 1 
      76314                                    1 0 1 1 
      76316                                    0 0 1 1 
      76317                                    1 1 0 1 
      76322                                    0 1 0 1 
      76323                                    1 0 0 1 
      76325                                    0 0 0 1 
      76327                                    1 1 1 0 
      76328                                    0 1 1 0 
      76329                                    1 0 1 0 
      76335                                    0 0 1 0 
      76336                                    1 1 0 0 
      76337                                    0 1 0 0 
      76338                                    1 0 0 0 
      76341                                    0 0 0 0 
      76343                                    1 1 1 1 
      76344                                    0 1 1 1 
      76346                                    1 0 1 1 
      76348                                    0 0 1 1 
      76351                                    1 1 0 1 
      76352                                    0 1 0 1 
      76353                                    1 0 0 1 
      76356                                    0 0 0 1 
      76357                                    1 1 1 0 
      76358                                    0 1 1 0 
      76362                                    1 0 1 0 
      76363                                    0 0 1 0 
      76369                                    1 1 0 0 
      76371                                    0 1 0 0 
      76377                                    1 0 0 0 
      76378                                    0 0 0 0 
      76380                                    1 1 1 1 
      76383                                    0 1 1 1 
      76385                                    1 0 1 1 
      76387                                    0 0 1 1 
      76388                                    1 1 0 1 
      76389                                    0 1 0 1 
      76391                                    1 0 0 1 
      76392                                    0 0 0 1 
      76393                                    1 1 1 0 
      76395                                    0 1 1 0 
      76396                                    1 0 1 0 
      76397                                    0 0 1 0 
      76400                                    1 1 0 0 
      76402                                    0 1 0 0 
      76406                                    1 0 0 0 
      76407                                    0 0 0 0 
      76408                                    1 1 1 1 
      76409                                    0 1 1 1 
      76414                                    1 0 1 1 
      76415                                    0 0 1 1 
      76416                                    1 1 0 1 
      76418                                    0 1 0 1 
      76420                                    1 0 0 1 
      76421                                    0 0 0 1 
      76422                                    1 1 1 0 
      76424                                    0 1 1 0 
      76428                                    1 0 1 0 
      76429                                    0 0 1 0 
      76430                                    1 1 0 0 
      76432                                    0 1 0 0 
      76433                                    1 0 0 0 
      76435                                    0 0 0 0 
      76437                                    1 1 1 1 
      76441                                    0 1 1 1 
      76443                                    1 0 1 1 
      76445                                    0 0 1 1 
      76446                                    1 1 0 1 
      76447                                    0 1 0 1 
      76451                                    1 0 0 1 
      76452                                    0 0 0 1 
      76453                                    1 1 1 0 
      76455                                    0 1 1 0 
      76456                                    1 0 1 0 
      76457                                    0 0 1 0 
      76458                                    1 1 0 0 
      76461                                    0 1 0 0 
      76465                                    1 0 0 0 
      76466                                    0 0 0 0 
      76468                                    1 1 1 1 
      76471                                    0 1 1 1 
      76472                                    1 0 1 1 
      76475                                    0 0 1 1 
      76476                                    1 1 0 1 
      76477                                    0 1 0 1 
      76478                                    1 0 0 1 
      76480                                    0 0 0 1 
      76481                                    1 1 1 0 
      76483                                    0 1 1 0 
      76487                                    1 0 1 0 
      76490                                    0 0 1 0 
      76493                                    1 1 0 0 
      76496                                    0 1 0 0 
      76498                                    1 0 0 0 
      76501                                    0 0 0 0 
      76503                                    1 1 1 1 
      76506                                    0 1 1 1 
      76509                                    1 0 1 1 
      76511                                    0 0 1 1 
      76515                                    1 1 0 1 
      76516                                    0 1 0 1 
      76521                                    1 0 0 1 
      76522                                    0 0 0 1 
      76523                                    1 1 1 0 
      76527                                    0 1 1 0 
      76531                                    1 0 1 0 
      76532                                    0 0 1 0 
      76538                                    1 1 0 0 
      76539                                    0 1 0 0 
      76540                                    1 0 0 0 
      76541                                    0 0 0 0 
      76544                                    1 1 1 1 
      76545                                    0 1 1 1 
      76548                                    1 0 1 1 
      76551                                    0 0 1 1 
      76552                                    1 1 0 1 
      76555                                    0 1 0 1 
      76556                                    1 0 0 1 
      76558                                    0 0 0 1 
      76561                                    1 1 1 0 
      76567                                    0 1 1 0 
      76569                                    1 0 1 0 
      76570                                    0 0 1 0 
      76571                                    1 1 0 0 
      76572                                    0 1 0 0 
      76573                                    1 0 0 0 
      76574                                    0 0 0 0 
      76576                                    1 1 1 1 
      76579                                    0 1 1 1 
      76582                                    1 0 1 1 
      76584                                    0 0 1 1 
      76588                                    1 1 0 1 
      76592                                    0 1 0 1 
      76593                                    1 0 0 1 
      76594                                    0 0 0 1 
      76597                                    1 1 1 0 
      76599                                    0 1 1 0 
      76601                                    1 0 1 0 
      76602                                    0 0 1 0 
      76605                                    1 1 0 0 
      76606                                    0 1 0 0 
      76607                                    1 0 0 0 
      76608                                    0 0 0 0 
      76609                                    1 1 1 1 
      76610                                    0 1 1 1 
      76612                                    1 0 1 1 
      76614                                    0 0 1 1 
      76618                                    1 1 0 1 
      76622                                    0 1 0 1 
      76624                                    1 0 0 1 
      76626                                    0 0 0 1 
      76627                                    1 1 1 0 
      76633                                    0 1 1 0 
      76634                                    1 0 1 0 
      76635                                    0 0 1 0 
      76636                                    1 1 0 0 
      76638                                    0 1 0 0 
      76639                                    1 0 0 0 
      76640                                    0 0 0 0 
      76644                                    1 1 1 1 
      76646                                    0 1 1 1 
      76650                                    1 0 1 1 
      76653                                    0 0 1 1 
      76654                                    1 1 0 1 
      76656                                    0 1 0 1 
      76657                                    1 0 0 1 
      76659                                    0 0 0 1 
      76660                                    1 1 1 0 
      76661                                    0 1 1 0 
      76663                                    1 0 1 0 
      76664                                    0 0 1 0 
      76667                                    1 1 0 0 
      76668                                    0 1 0 0 
      76669                                    1 0 0 0 
      76670                                    0 0 0 0 
      76674                                    1 1 1 1 
      76676                                    0 1 1 1 
      76677                                    1 0 1 1 
      76678                                    0 0 1 1 
      76680                                    1 1 0 1 
      76681                                    0 1 0 1 
      76684                                    1 0 0 1 
      76685                                    0 0 0 1 
      76688                                    1 1 1 0 
      76691                                    0 1 1 0 
      76696                                    1 0 1 0 
      76698                                    0 0 1 0 
      76701                                    1 1 0 0 
      76702                                    0 1 0 0 
      76708                                    1 0 0 0 
      76709                                    0 0 0 0 
      76711                                    1 1 1 1 
      76713                                    0 1 1 1 
      76714                                    1 0 1 1 
      76715                                    0 0 1 1 
      76716                                    1 1 0 1 
      76721                                    0 1 0 1 
      76723                                    1 0 0 1 
      76724                                    0 0 0 1 
      76725                                    1 1 1 0 
      76729                                    0 1 1 0 
      76730                                    1 0 1 0 
      76735                                    0 0 1 0 
      76736                                    1 1 0 0 
      76737                                    0 1 0 0 
      76738                                    1 0 0 0 
      76740                                    0 0 0 0 
      76741                                    1 1 1 1 
      76742                                    0 1 1 1 
      76749                                    1 0 1 1 
      76750                                    0 0 1 1 
      76753                                    1 1 0 1 
      76754                                    0 1 0 1 
      76755                                    1 0 0 1 
      76758                                    0 0 0 1 
      76762                                    1 1 1 0 
      76763                                    0 1 1 0 
      76767                                    1 0 1 0 
      76768                                    0 0 1 0 
      76769                                    1 1 0 0 
      76771                                    0 1 0 0 
      76772                                    1 0 0 0 
      76774                                    0 0 0 0 
      76776                                    1 1 1 1 
      76780                                    0 1 1 1 
      76781                                    1 0 1 1 
      76782                                    0 0 1 1 
      76783                                    1 1 0 1 
      76786                                    0 1 0 1 
      76788                                    1 0 0 1 
      76793                                    0 0 0 1 
      76795                                    1 1 1 0 
      76798                                    0 1 1 0 
      76800                                    1 0 1 0 
      76804                                    0 0 1 0 
      76810                                    1 1 0 0 
      76815                                    0 1 0 0 
      76816                                    1 0 0 0 
      76817                                    0 0 0 0 
      76819                                    1 1 1 1 
      76825                                    0 1 1 1 
      76828                                    1 0 1 1 
      76829                                    0 0 1 1 
      76830                                    1 1 0 1 
      76831                                    0 1 0 1 
      76834                                    1 0 0 1 
      76835                                    0 0 0 1 
      76838                                    1 1 1 0 
      76839                                    0 1 1 0 
      76841                                    1 0 1 0 
      76845                                    0 0 1 0 
      76847                                    1 1 0 0 
      76849                                    0 1 0 0 
      76851                                    1 0 0 0 
      76853                                    0 0 0 0 
      76856                                    1 1 1 1 
      76859                                    0 1 1 1 
      76861                                    1 0 1 1 
      76863                                    0 0 1 1 
      76867                                    1 1 0 1 
      76868                                    0 1 0 1 
      76869                                    1 0 0 1 
      76870                                    0 0 0 1 
      76875                                    1 1 1 0 
      76876                                    0 1 1 0 
      76877                                    1 0 1 0 
      76878                                    0 0 1 0 
      76879                                    1 1 0 0 
      76881                                    0 1 0 0 
      76882                                    1 0 0 0 
      76883                                    0 0 0 0 
      76885                                    1 1 1 1 
      76886                                    0 1 1 1 
      76888                                    1 0 1 1 
      76889                                    0 0 1 1 
      76891                                    1 1 0 1 
      76892                                    0 1 0 1 
      76893                                    1 0 0 1 
      76896                                    0 0 0 1 
      76899                                    1 1 1 0 
      76901                                    0 1 1 0 
      76902                                    1 0 1 0 
      76906                                    0 0 1 0 
      76907                                    1 1 0 0 
      76908                                    0 1 0 0 
      76910                                    1 0 0 0 
      76914                                    0 0 0 0 
      76916                                    1 1 1 1 
      76919                                    0 1 1 1 
      76921                                    1 0 1 1 
      76922                                    0 0 1 1 
      76925                                    1 1 0 1 
      76928                                    0 1 0 1 
      76931                                    1 0 0 1 
      76932                                    0 0 0 1 
      76934                                    1 1 1 0 
      76936                                    0 1 1 0 
      76942                                    1 0 1 0 
      76943                                    0 0 1 0 
      76944                                    1 1 0 0 
      76947                                    0 1 0 0 
      76950                                    1 0 0 0 
      76951                                    0 0 0 0 
      76954                                    1 1 1 1 
      76955                                    0 1 1 1 
      76957                                    1 0 1 1 
      76959                                    0 0 1 1 
      76963                                    1 1 0 1 
      76965                                    0 1 0 1 
      76967                                    1 0 0 1 
      76970                                    0 0 0 1 
      76971                                    1 1 1 0 
      76972                                    0 1 1 0 
